year,brand_id,user_id,Total_Nodes,Total_Sessions,Total_Stories
2018,3,62,0,10,5
2018,4,20,0,37,5
2018,8,3330,0,2,1
2018,8,3463,0,1,1
2018,8,3547,0,436,7
2018,8,3560,0,25,1
2018,8,3727,0,41,2
2018,8,3871,0,38,1
2018,8,3968,0,10,1
2018,8,4005,0,960,11
2018,8,4006,0,442,10
2018,8,4017,0,21,2
2018,8,4019,0,26,1
2018,8,4020,0,16,1
2018,8,4021,0,11,1
2018,8,4022,0,27,1
2018,8,4023,0,21,1
2018,8,4024,0,23,1
2018,8,4026,0,33,1
2018,8,4027,0,21,1
2018,8,4028,0,21,1
2018,8,4029,0,28,1
2018,8,4030,0,52,2
2018,8,4074,0,75,2
2018,8,4075,0,52,2
2018,8,4076,0,74,2
2018,8,4077,0,58,2
2018,8,4078,0,65,2
2018,8,4103,0,25,1
2018,8,4104,0,30,1
2018,8,4105,0,24,1
2018,8,4106,0,15,1
2018,8,4107,0,11,1
2018,8,4115,0,47,2
2018,8,4116,0,73,2
2018,8,4118,0,23,1
2018,8,4120,0,22,1
2018,8,4121,0,48,2
2018,8,4175,0,19,1
2018,8,4176,0,12,1
2018,8,4177,0,14,1
2018,8,4178,0,52,1
2018,8,4179,0,20,1
2018,8,4180,0,21,1
2018,8,4181,0,101,1
2018,8,4182,0,12,1
2018,8,4183,0,16,1
2018,8,4218,0,73,2
2018,8,4219,0,55,2
2018,8,4220,0,41,1
2018,8,4221,0,43,2
2018,8,4222,0,87,2
2018,8,4731,0,40,1
2018,8,4732,0,36,1
2018,8,4733,0,16,1
2018,8,4734,0,25,1
2018,8,4735,0,11,1
2018,8,5244,0,17,1
2018,8,5245,0,30,1
2018,8,5246,0,20,1
2018,8,5247,0,10,1
2018,8,5248,0,9,1
2018,8,5249,0,29,1
2018,8,5250,0,7,1
2018,8,5251,0,16,1
2018,8,5252,0,11,1
2018,8,5253,0,23,1
2018,8,5254,0,9,1
2018,8,5255,0,23,1
2018,8,5256,0,19,1
2018,8,5257,0,10,1
2018,8,5260,0,49,1
2018,8,5261,0,22,1
2018,8,5262,0,32,1
2018,8,5265,0,20,2
2018,8,5266,0,20,2
2018,8,5267,0,23,2
2018,8,5269,0,54,2
2018,8,5270,0,53,2
2018,8,5271,0,21,2
2018,8,5272,0,30,2
2018,8,5273,0,22,2
2018,8,5274,0,20,2
2018,8,5276,0,11,1
2018,8,5277,0,11,1
2018,8,5278,0,13,1
2018,8,5279,0,12,1
2018,8,5280,0,10,1
2018,8,5281,0,13,1
2018,8,5282,0,12,1
2018,8,5284,0,10,1
2018,8,5285,0,12,1
2018,8,5286,0,18,1
2018,8,5287,0,20,1
2018,8,5289,0,15,1
2018,8,5290,0,5,1
2018,8,5291,0,9,1
2018,8,5292,0,10,1
2018,8,5293,0,11,1
2018,8,5296,0,10,1
2018,8,5297,0,19,1
2018,8,5298,0,11,1
2018,8,5334,0,19,1
2018,8,5335,0,3,1
2018,8,5339,0,11,1
2018,8,5341,0,12,1
2018,8,5343,0,11,1
2018,8,5344,0,17,1
2018,8,5345,0,13,1
2018,8,5351,0,8,1
2018,8,5360,0,2,1
2018,8,5362,0,17,1
2018,8,5388,0,44,1
2018,8,5389,0,30,1
2018,8,5390,0,24,1
2018,8,5420,0,10,1
2018,8,5421,0,17,1
2018,8,5422,0,9,1
2018,8,5423,0,12,1
2018,8,5424,0,9,1
2018,8,5425,0,9,1
2018,8,5426,0,10,1
2018,8,5427,0,23,1
2018,8,5428,0,13,1
2018,8,5430,0,11,1
2018,8,5431,0,9,1
2018,8,5432,0,10,1
2018,8,5433,0,12,1
2018,8,5434,0,11,1
2018,8,5435,0,10,1
2018,8,5436,0,28,1
2018,8,5437,0,12,1
2018,8,5438,0,25,1
2018,8,5439,0,25,2
2018,8,5440,0,13,1
2018,8,5441,0,9,1
2018,8,5442,0,11,1
2018,8,5443,0,8,1
2018,8,5444,0,14,1
2018,8,5445,0,14,1
2018,8,5446,0,22,1
2018,8,5447,0,26,1
2018,8,5448,0,11,1
2018,8,5464,0,12,1
2018,8,5465,0,12,1
2018,8,5466,0,8,1
2018,8,5472,0,25,1
2018,8,5474,0,20,1
2018,8,5475,0,23,1
2018,8,5476,0,26,1
2018,8,5477,0,8,1
2018,8,5482,0,10,1
2018,8,5483,0,8,1
2018,8,5484,0,11,1
2018,8,5485,0,11,1
2018,8,5486,0,9,1
2018,8,5487,0,10,1
2018,8,5488,0,9,1
2018,8,5489,0,13,1
2018,8,5490,0,14,1
2018,8,5491,0,9,1
2018,8,5492,0,18,1
2018,8,5493,0,11,1
2018,8,5494,0,10,1
2018,8,5495,0,11,1
2018,8,5496,0,12,1
2018,8,5497,0,11,1
2018,8,5498,0,12,1
2018,8,5499,0,9,1
2018,8,5501,0,14,1
2018,8,5502,0,24,1
2018,8,5503,0,25,1
2018,8,5504,0,24,1
2018,8,5505,0,7,1
2018,8,5506,0,11,1
2018,8,5507,0,12,1
2018,8,5508,0,10,1
2018,8,5509,0,10,1
2018,8,5511,0,10,1
2018,8,5513,0,11,1
2018,8,5514,0,11,1
2018,8,5516,0,9,1
2018,8,5517,0,10,1
2018,8,5518,0,18,1
2018,8,5519,0,10,1
2018,8,5520,0,21,1
2018,8,5521,0,29,1
2018,8,5522,0,18,1
2018,8,5523,0,19,1
2018,8,5524,0,20,1
2018,8,5525,0,17,1
2018,8,5526,0,24,1
2018,8,5527,0,10,1
2018,8,5528,0,14,1
2018,8,5529,0,12,1
2018,8,5530,0,8,1
2018,8,5531,0,21,1
2018,8,5533,0,10,1
2018,8,5534,0,12,1
2018,8,5535,0,12,1
2018,8,5536,0,13,1
2018,8,5538,0,10,1
2018,8,5540,0,3,1
2018,8,5544,0,9,1
2018,8,5597,0,9,1
2018,8,5599,0,12,1
2018,8,5603,0,13,1
2018,8,5604,0,12,1
2018,8,5605,0,13,1
2018,8,5606,0,12,1
2018,8,5607,0,16,1
2018,8,5608,0,13,1
2018,8,5609,0,11,1
2018,8,5610,0,20,1
2018,8,5611,0,19,1
2018,8,5612,0,19,1
2018,8,5613,0,9,1
2018,8,5614,0,10,1
2018,8,5615,0,9,1
2018,8,5616,0,13,1
2018,8,5617,0,9,1
2018,8,5618,0,20,1
2018,8,5619,0,11,1
2018,8,5620,0,13,1
2018,8,5621,0,12,1
2018,8,5622,0,13,1
2018,8,5623,0,14,1
2018,8,5661,0,12,1
2018,8,5662,0,20,1
2018,8,5663,0,20,1
2018,8,5664,0,10,1
2018,8,5665,0,24,1
2018,8,5666,0,12,1
2018,8,5667,0,12,1
2018,8,5668,0,11,1
2018,8,5669,0,10,1
2018,8,5670,0,17,1
2018,8,5671,0,9,1
2018,8,5672,0,11,1
2018,8,5673,0,22,1
2018,8,5674,0,11,1
2018,8,5675,0,7,1
2018,8,5688,0,11,1
2018,8,5690,0,12,1
2018,8,5694,0,12,1
2018,8,5704,0,24,1
2018,8,5705,0,32,1
2018,8,5711,0,26,1
2018,8,5723,0,22,1
2018,8,5724,0,11,1
2018,8,5725,0,10,1
2018,8,5727,0,10,1
2018,8,5728,0,11,1
2018,8,5729,0,11,1
2018,8,5730,0,12,1
2018,8,5731,0,12,1
2018,8,5732,0,9,1
2018,8,5733,0,11,1
2018,8,5734,0,9,1
2018,8,5735,0,9,1
2018,8,5736,0,11,1
2018,8,5737,0,12,1
2018,8,5738,0,8,1
2018,8,5739,0,10,1
2018,8,5740,0,23,1
2018,8,5741,0,11,1
2018,9,3342,0,120,2
2018,9,3973,0,433,1
2018,9,5539,0,3,1
2018,12,3593,0,46,1
2018,14,1063,0,26,2
2018,16,4033,0,1,1
2018,16,4034,0,338,32
2018,16,4060,0,13,3
2018,16,4129,0,23,1
2018,16,4133,0,78,4
2018,16,4134,0,120,9
2018,16,4139,0,10,2
2018,16,4141,0,117,10
2018,16,4144,0,15,4
2018,16,4149,0,35,4
2018,16,4150,0,16,2
2018,16,4152,0,18,3
2018,16,4156,0,45,7
2018,16,4158,0,149,9
2018,16,4163,0,31,5
2018,16,4166,0,31,5
2018,16,4186,0,1,1
2018,16,4190,0,6,2
2018,16,4192,0,64,7
2018,16,4194,0,24,4
2018,16,4195,0,95,10
2018,16,4197,0,81,10
2018,16,4198,0,57,7
2018,16,4199,0,19,2
2018,16,4200,0,25,4
2018,16,4201,0,26,4
2018,16,4202,0,39,5
2018,16,4203,0,31,5
2018,16,4204,0,50,7
2018,16,4205,0,13,2
2018,16,4206,0,26,5
2018,16,4207,0,47,4
2018,16,4208,0,82,3
2018,16,4211,0,8,2
2018,17,2711,0,63,3
2018,17,2713,0,664,3
2018,17,2714,0,1559,4
2018,17,2715,0,32,2
2018,17,2718,0,14,1
2018,19,4227,0,11,1
2018,19,4228,0,20,1
2018,20,5299,0,22,3
2018,20,5300,0,113,8
2018,20,5303,0,57,1
2018,20,5396,0,37,3
2018,22,5330,0,580,19
2018,22,5399,0,450,10
2018,22,5549,0,20,2
2018,22,5559,0,19,1
2018,22,5566,0,91,2
2018,22,5570,0,258,9
2018,23,5400,0,60,4
2018,23,5449,0,26,2
2019,8,4005,0,76,5
2019,8,5766,0,11,1
2019,8,5767,0,11,1
2019,8,5768,0,15,1
2019,8,5769,0,14,1
2019,8,5770,0,9,1
2019,8,5771,0,15,1
2019,8,5774,0,11,1
2019,8,5775,0,10,1
2019,8,5778,0,11,1
2019,8,5785,0,10,1
2019,8,5787,0,21,1
2019,8,5789,0,10,1
2019,8,5828,0,9,1
2019,8,5829,0,14,1
2019,8,5881,0,11,1
2019,8,5882,0,10,1
2019,8,5884,0,13,1
2019,8,5886,0,14,1
2019,8,5896,0,20,1
2019,8,5897,0,10,1
2019,8,5898,0,9,1
2019,8,5899,0,10,1
2019,8,5900,0,22,1
2019,8,5901,0,17,1
2019,8,5902,0,9,1
2019,8,5904,0,9,1
2019,8,5905,0,10,1
2019,8,5906,0,22,1
2019,8,5907,0,12,1
2019,8,5908,0,8,1
2019,8,5909,0,20,1
2019,8,6014,0,169,3
2019,9,3342,0,448,11
2019,9,3648,0,106,3
2019,9,3650,0,86,2
2019,9,3973,0,430,19
2019,9,4096,0,40,2
2019,9,4097,0,15,1
2019,9,4101,0,6,1
2019,9,4223,0,508,19
2019,9,4244,0,146,3
2019,9,4261,0,39,1
2019,9,4264,0,22,1
2019,9,4265,0,24,1
2019,9,4271,0,26,1
2019,9,4328,0,966,7
2019,9,4394,0,93,2
2019,9,4405,0,79,2
2019,9,4420,0,42,1
2019,9,4444,0,117,7
2019,9,4449,0,55,2
2019,9,4532,0,127,3
2019,9,4545,0,219,8
2019,9,4554,0,58,3
2019,9,4555,0,53,3
2019,9,4596,0,45,2
2019,9,4604,0,35,2
2019,9,4605,0,343,11
2019,9,4606,0,30,2
2019,9,4609,0,110,2
2019,9,4615,0,11,1
2019,9,4660,0,17,1
2019,9,4662,0,356,9
2019,9,4663,0,285,8
2019,9,4672,0,212,9
2019,9,4673,0,234,8
2019,9,4678,0,143,6
2019,9,4683,0,35,1
2019,9,4694,0,57,1
2019,9,4701,0,52,1
2019,9,4709,0,495,11
2019,9,4768,0,71,3
2019,9,5224,0,103,8
2019,9,5225,0,439,10
2019,9,5227,0,321,9
2019,9,5229,0,217,11
2019,9,5230,0,519,11
2019,9,5234,0,247,7
2019,9,5235,0,102,6
2019,9,5242,0,1,1
2019,9,5646,0,239,3
2019,9,5649,0,76,2
2019,9,5840,0,461,9
2019,9,6067,0,122,2
2019,9,6068,0,171,2
2019,9,6069,0,50,1
2019,9,6070,0,100,2
2019,9,6071,0,48,1
2019,9,6072,0,43,1
2019,9,6073,0,14,1
2019,9,6074,0,33,1
2019,9,6075,0,39,1
2019,9,6076,0,47,1
2019,9,6077,0,43,1
2019,9,6078,0,92,2
2019,9,6079,0,65,1
2019,9,6080,0,120,2
2019,9,6081,0,111,2
2019,9,6082,0,104,2
2019,9,6083,0,65,2
2019,9,6084,0,98,2
2019,9,6085,0,20,1
2019,9,6086,0,96,2
2019,9,6100,0,126,1
2019,9,6210,0,9,1
2019,9,6211,0,58,4
2019,9,6212,0,80,1
2019,9,6213,0,76,2
2019,9,6214,0,136,2
2019,9,6215,0,116,2
2019,9,6216,0,103,3
2019,9,6217,0,106,2
2019,9,6218,0,122,4
2019,9,6219,0,51,5
2019,9,6220,0,91,3
2019,9,6221,0,97,4
2019,9,6222,0,41,3
2019,9,6223,0,39,3
2019,9,6224,0,176,3
2019,9,6225,0,61,1
2019,9,6226,0,35,2
2019,9,6227,0,94,2
2019,9,6228,0,118,4
2019,9,6229,0,212,5
2019,9,6231,0,297,9
